district,campus,unarticulated_receiver
Sequoias Community College District,UCSC,CSE 12
Sequoias Community College District,UCSC,CSE 16
Sequoias Community College District,UCSD,CSE 11
Sequoias Community College District,UCSD,CSE 12
Sequoias Community College District,UCSD,CSE 20
Sequoias Community College District,UCSD,CSE 21
Sequoias Community College District,UCSD,CSE 29
Sequoias Community College District,UCSD,CSE 30
Shasta-Tehama-Trinity Joint Community College District,UCD,ECS 036C
Shasta-Tehama-Trinity Joint Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Shasta-Tehama-Trinity Joint Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Shasta-Tehama-Trinity Joint Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Shasta-Tehama-Trinity Joint Community College District,UCLA,COM SCI 31
Shasta-Tehama-Trinity Joint Community College District,UCLA,COM SCI 32
Shasta-Tehama-Trinity Joint Community College District,UCLA,COM SCI 33
Shasta-Tehama-Trinity Joint Community College District,UCLA,COM SCI 35L
Shasta-Tehama-Trinity Joint Community College District,UCSC,CSE 12
Shasta-Tehama-Trinity Joint Community College District,UCSC,CSE 30
Shasta-Tehama-Trinity Joint Community College District,UCSD,CSE 11
Shasta-Tehama-Trinity Joint Community College District,UCSD,CSE 12
Shasta-Tehama-Trinity Joint Community College District,UCSD,CSE 20
Shasta-Tehama-Trinity Joint Community College District,UCSD,CSE 21
Shasta-Tehama-Trinity Joint Community College District,UCSD,CSE 29
Shasta-Tehama-Trinity Joint Community College District,UCSD,CSE 30
Sierra Joint Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Sierra Joint Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Sierra Joint Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Sierra Joint Community College District,UCLA,COM SCI 35L
Sierra Joint Community College District,UCSD,CSE 21
Sierra Joint Community College District,UCSD,CSE 29
Siskiyou Joint Community College District,UCD,ECS 020
Siskiyou Joint Community College District,UCD,ECS 036C
Siskiyou Joint Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Siskiyou Joint Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Siskiyou Joint Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Siskiyou Joint Community College District,UCLA,COM SCI 31
Siskiyou Joint Community College District,UCLA,COM SCI 32
Siskiyou Joint Community College District,UCLA,COM SCI 33
Siskiyou Joint Community College District,UCLA,COM SCI 35L
Siskiyou Joint Community College District,UCLA,Computer programming courses: C++ preferred
Siskiyou Joint Community College District,UCLA,MATH 61
Siskiyou Joint Community College District,UCSB,CMPSC 16
Siskiyou Joint Community College District,UCSB,CMPSC 24
Siskiyou Joint Community College District,UCSC,CSE 16
Siskiyou Joint Community College District,UCSD,CSE 11
Siskiyou Joint Community College District,UCSD,CSE 12
Siskiyou Joint Community College District,UCSD,CSE 20
Siskiyou Joint Community College District,UCSD,CSE 21
Siskiyou Joint Community College District,UCSD,CSE 29
Siskiyou Joint Community College District,UCSD,CSE 30
Solano Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Solano Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Solano Community College District,UCLA,COM SCI 33
Solano Community College District,UCLA,COM SCI 35L
Solano Community College District,UCLA,Computer programming courses: C++ preferred
Solano Community College District,UCR,CS 10B
Solano Community College District,UCSB,CMPSC 16
Solano Community College District,UCSB,CMPSC 24
Solano Community College District,UCSD,CSE 11
Solano Community College District,UCSD,CSE 20
Solano Community College District,UCSD,CSE 21
Solano Community College District,UCSD,CSE 29
Solano Community College District,UCSD,CSE 30
Sonoma County Junior College District,UCD,ECS 036C
Sonoma County Junior College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Sonoma County Junior College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Sonoma County Junior College District,UCLA,COM SCI 31
Sonoma County Junior College District,UCLA,COM SCI 35L
Sonoma County Junior College District,UCSD,CSE 12
Sonoma County Junior College District,UCSD,CSE 21
Sonoma County Junior College District,UCSD,CSE 29
South Orange County Community College District,UCLA,COM SCI 35L
South Orange County Community College District,UCSD,CSE 29
Southwestern Community College District,UCD,ECS 036B
Southwestern Community College District,UCD,ECS 036C
Southwestern Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Southwestern Community College District,UCLA,COM SCI 32
Southwestern Community College District,UCLA,COM SCI 35L
Southwestern Community College District,UCR,CS 10B
Southwestern Community College District,UCSB,CMPSC 24
Southwestern Community College District,UCSD,CSE 21
Southwestern Community College District,UCSD,CSE 29
State Center Community College District,UCLA,COM SCI 35L
State Center Community College District,UCSD,CSE 21
State Center Community College District,UCSD,CSE 29
Ventura County Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Ventura County Community College District,UCLA,COM SCI 35L
Ventura County Community College District,UCR,CS 10B
Ventura County Community College District,UCSD,CSE 21
Ventura County Community College District,UCSD,CSE 29
Victor Valley Community College District,UCD,ECS 020
Victor Valley Community College District,UCD,ECS 036A
Victor Valley Community College District,UCD,ECS 036C
Victor Valley Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Victor Valley Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Victor Valley Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Victor Valley Community College District,UCLA,COM SCI 31
Victor Valley Community College District,UCLA,COM SCI 32
Victor Valley Community College District,UCLA,COM SCI 35L
Victor Valley Community College District,UCLA,MATH 61
Victor Valley Community College District,UCM,CSE 022
Victor Valley Community College District,UCM,CSE 030
Victor Valley Community College District,UCSC,CSE 30
Victor Valley Community College District,UCSD,CSE 12
Victor Valley Community College District,UCSD,CSE 20
Victor Valley Community College District,UCSD,CSE 21
Victor Valley Community College District,UCSD,CSE 29
Victor Valley Community College District,UCSD,CSE 30
West Hills Community College District,UCD,ECS 020
West Hills Community College District,UCD,ECS 036A
West Hills Community College District,UCD,ECS 036B
West Hills Community College District,UCD,ECS 036C
West Hills Community College District,UCD,ECS 050
West Hills Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
West Hills Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
West Hills Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
West Hills Community College District,UCLA,COM SCI 31
West Hills Community College District,UCLA,COM SCI 32
West Hills Community College District,UCLA,COM SCI 33
West Hills Community College District,UCLA,COM SCI 35L
West Hills Community College District,UCLA,Computer programming courses: C++ preferred
West Hills Community College District,UCLA,MATH 61
West Hills Community College District,UCM,CSE 030
West Hills Community College District,UCR,CS 10B
West Hills Community College District,UCSB,CMPSC 24
West Hills Community College District,UCSB,CMPSC 40
West Hills Community College District,UCSC,CSE 12
West Hills Community College District,UCSC,CSE 16
West Hills Community College District,UCSC,CSE 30
West Hills Community College District,UCSD,CSE 11
West Hills Community College District,UCSD,CSE 12
West Hills Community College District,UCSD,CSE 20
West Hills Community College District,UCSD,CSE 21
West Hills Community College District,UCSD,CSE 29
West Hills Community College District,UCSD,CSE 30
West Kern Community College District,UCD,ECS 020
West Kern Community College District,UCD,ECS 036B
West Kern Community College District,UCD,ECS 036C
West Kern Community College District,UCD,ECS 050
West Kern Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
West Kern Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
West Kern Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
West Kern Community College District,UCLA,COM SCI 31
West Kern Community College District,UCLA,COM SCI 32
West Kern Community College District,UCLA,COM SCI 33
West Kern Community College District,UCLA,COM SCI 35L
West Kern Community College District,UCLA,Computer programming courses: C++ preferred
West Kern Community College District,UCLA,MATH 33A
West Kern Community College District,UCLA,MATH 61
West Kern Community College District,UCM,CSE 030
West Kern Community College District,UCR,CS 10B
West Kern Community College District,UCSC,CSE 12
West Kern Community College District,UCSC,CSE 16
West Kern Community College District,UCSC,CSE 30
West Kern Community College District,UCSD,CSE 11
West Kern Community College District,UCSD,CSE 12
West Kern Community College District,UCSD,CSE 20
West Kern Community College District,UCSD,CSE 21
West Kern Community College District,UCSD,CSE 29
West Kern Community College District,UCSD,CSE 30
West Kern Community College District,UCSD,MATH 18
West Valley-Mission Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
West Valley-Mission Community College District,UCLA,COM SCI 35L
West Valley-Mission Community College District,UCSD,CSE 21
West Valley-Mission Community College District,UCSD,CSE 29
Yosemite Community College District,UCD,ECS 036C
Yosemite Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Yosemite Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Yosemite Community College District,UCLA,COM SCI 31
Yosemite Community College District,UCLA,COM SCI 32
Yosemite Community College District,UCLA,COM SCI 35L
Yosemite Community College District,UCSB,CMPSC 16
Yosemite Community College District,UCSB,CMPSC 24
Yosemite Community College District,UCSD,CSE 20
Yosemite Community College District,UCSD,CSE 21
Yosemite Community College District,UCSD,CSE 29
Yosemite Community College District,UCSD,CSE 30
Yuba Community College District,UCD,ECS 036C
Yuba Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Yuba Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Yuba Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Yuba Community College District,UCLA,COM SCI 35L
Yuba Community College District,UCLA,MATH 61
Yuba Community College District,UCSD,CSE 12
Yuba Community College District,UCSD,CSE 20
Yuba Community College District,UCSD,CSE 21
Yuba Community College District,UCSD,CSE 29
Yuba Community College District,UCSD,CSE 30
