campus,unarticulated_receiver,districts_blocked,districts
UCB,CHEM 1A + CHEM 1AL,12,Gavilan Community College District | Hartnell Community College District | Lake Tahoe Community College District | Mendocino-Lake Community College District | MiraCosta Community College District | Mt. San Antonio Community College District | Palo Verde Community College District | Rio Hondo Community College District | Santa Monica Community College District | Sierra Joint Community College District | Southwestern Community College District | Victor Valley Community College District
UCB,CHEM 1B,12,Gavilan Community College District | Hartnell Community College District | Lake Tahoe Community College District | Mendocino-Lake Community College District | MiraCosta Community College District | Mt. San Antonio Community College District | Palo Verde Community College District | Rio Hondo Community College District | Santa Monica Community College District | Sierra Joint Community College District | Southwestern Community College District | Victor Valley Community College District
UCSD,1 of [MATH 11 / MATH 11],12,Allan Hancock Joint Community College District | Cabrillo Community College District | Chaffey Community College District | Marin Community College District | Merced Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Santa Monica Community College District | Solano Community College District | Sonoma County Junior College District | West Hills Community College District
UCLA,CHEM 30A + CHEM 30B,10,Barstow Community College District | Compton Community College District | Feather River Community College District | Lake Tahoe Community College District | Lassen Community College District | Merced Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCI,CHEM 51A + CHEM 51B + CHEM 51LB + CHEM 51C + CHEM 51LC,7,Compton Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCSB,CHEM 109A + CHEM 109B,7,Compton Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCSB,CHEM 6AL,7,Compton Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCSC,CHEM 8A,7,Compton Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCSD,CHEM 41A,7,Compton Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCSD,CHEM 41B,7,Compton Community College District | Feather River Community College District | Lassen Community College District | Palo Verde Community College District | Redwoods Community College District | Siskiyou Joint Community College District | West Kern Community College District
UCLA,LIFESCI 7L,6,Barstow Community College District | Imperial Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Palo Verde Community College District | Southwestern Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021B / MAT 021C + MAT 021D],5,Barstow Community College District | Cerritos Community College District | Mt. San Antonio Community College District | Ohlone Community College District | San Bernardino Community College District
