district,campus,unarticulated_receiver
West Hills Community College District,UCSD,1 of [MATH 11 / MATH 11]
West Hills Community College District,UCSD,BILD 5
West Kern Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
West Kern Community College District,UCB,BIOLOGY 1B
West Kern Community College District,UCB,CHEM 3A + CHEM 3AL
West Kern Community College District,UCB,CHEM 3B + CHEM 3BL
West Kern Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
West Kern Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
West Kern Community College District,UCI,CHEM 51A + CHEM 51B + CHEM 51LB + CHEM 51C + CHEM 51LC
West Kern Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
West Kern Community College District,UCLA,CHEM 30A + CHEM 30B
West Kern Community College District,UCM,CHEM 008 + CHEM 008L
West Kern Community College District,UCSB,CHEM 109A + CHEM 109B
West Kern Community College District,UCSB,CHEM 6AL
West Kern Community College District,UCSC,BIOL 20L
West Kern Community College District,UCSC,CHEM 8A
West Kern Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11]
West Kern Community College District,UCSD,BILD 5
West Kern Community College District,UCSD,CHEM 41A
West Kern Community College District,UCSD,CHEM 41B
West Valley-Mission Community College District,UCSC,BIOL 20L
West Valley-Mission Community College District,UCSD,BILD 5
Yosemite Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021B]
Yosemite Community College District,UCSC,BIOL 20L
Yosemite Community College District,UCSD,BILD 5
Yuba Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021A / MAT 021B]
Yuba Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Yuba Community College District,UCSC,BIOL 20L
Yuba Community College District,UCSD,BILD 5
