campus,district,articulated_count
UCSB,Hartnell Community College District,3
UCSC,Hartnell Community College District,3
UCSD,Hartnell Community College District,3
UCB,Imperial Community College District,4
UCD,Imperial Community College District,4
UCI,Imperial Community College District,4
UCM,Imperial Community College District,5
UCR,Imperial Community College District,1
UCSB,Imperial Community College District,3
UCSC,Imperial Community College District,3
UCSD,Imperial Community College District,3
UCB,Kern Community College District,4
UCD,Kern Community College District,4
UCI,Kern Community College District,4
UCM,Kern Community College District,5
UCR,Kern Community College District,1
UCSB,Kern Community College District,3
UCSC,Kern Community College District,3
UCSD,Kern Community College District,3
UCB,Lake Tahoe Community College District,5
UCD,Lake Tahoe Community College District,4
UCI,Lake Tahoe Community College District,4
UCM,Lake Tahoe Community College District,5
UCR,Lake Tahoe Community College District,1
UCSB,Lake Tahoe Community College District,3
UCSC,Lake Tahoe Community College District,3
UCSD,Lake Tahoe Community College District,5
UCB,Lassen Community College District,4
UCD,Lassen Community College District,4
UCI,Lassen Community College District,4
UCM,Lassen Community College District,5
UCR,Lassen Community College District,1
UCSB,Lassen Community College District,4
UCSC,Lassen Community College District,3
UCB,Long Beach Community College District,4
UCD,Long Beach Community College District,4
UCI,Long Beach Community College District,4
UCM,Long Beach Community College District,4
UCR,Long Beach Community College District,1
UCSB,Long Beach Community College District,3
UCSC,Long Beach Community College District,3
UCB,Los Angeles Community College District,4
UCD,Los Angeles Community College District,4
UCI,Los Angeles Community College District,4
UCM,Los Angeles Community College District,5
UCR,Los Angeles Community College District,1
UCSB,Los Angeles Community College District,3
UCSC,Los Angeles Community College District,3
UCSD,Los Angeles Community College District,4
UCB,Los Rios Community College District,4
UCD,Los Rios Community College District,4
UCI,Los Rios Community College District,4
UCM,Los Rios Community College District,5
UCR,Los Rios Community College District,1
UCSB,Los Rios Community College District,3
UCSC,Los Rios Community College District,3
UCSD,Los Rios Community College District,4
UCB,Marin Community College District,4
UCD,Marin Community College District,4
UCI,Marin Community College District,4
UCM,Marin Community College District,5
UCR,Marin Community College District,1
UCSB,Marin Community College District,4
UCSC,Marin Community College District,3
UCSD,Marin Community College District,4
UCB,Mendocino-Lake Community College District,4
UCD,Mendocino-Lake Community College District,4
UCI,Mendocino-Lake Community College District,4
UCM,Mendocino-Lake Community College District,5
UCR,Mendocino-Lake Community College District,1
UCSB,Mendocino-Lake Community College District,3
UCSC,Mendocino-Lake Community College District,3
UCSD,Mendocino-Lake Community College District,5
UCB,Merced Community College District,4
UCD,Merced Community College District,4
UCI,Merced Community College District,4
UCM,Merced Community College District,5
UCR,Merced Community College District,1
UCSB,Merced Community College District,3
UCSC,Merced Community College District,3
UCSD,Merced Community College District,5
UCB,MiraCosta Community College District,4
UCD,MiraCosta Community College District,4
UCI,MiraCosta Community College District,4
UCM,MiraCosta Community College District,5
UCR,MiraCosta Community College District,1
UCSB,MiraCosta Community College District,3
UCSC,MiraCosta Community College District,3
UCSD,MiraCosta Community College District,5
UCB,Monterey Peninsula Community College District,4
UCI,Monterey Peninsula Community College District,4
UCM,Monterey Peninsula Community College District,5
UCR,Monterey Peninsula Community College District,1
UCSB,Monterey Peninsula Community College District,3
UCSC,Monterey Peninsula Community College District,3
UCSD,Monterey Peninsula Community College District,3
UCB,Mt. San Antonio Community College District,4
UCD,Mt. San Antonio Community College District,4
UCI,Mt. San Antonio Community College District,4
UCM,Mt. San Antonio Community College District,5
UCR,Mt. San Antonio Community College District,1
UCSB,Mt. San Antonio Community College District,3
UCSC,Mt. San Antonio Community College District,3
UCSD,Mt. San Antonio Community College District,4
UCB,Mt. San Jacinto Community College District,4
UCD,Mt. San Jacinto Community College District,4
UCI,Mt. San Jacinto Community College District,4
UCM,Mt. San Jacinto Community College District,4
UCR,Mt. San Jacinto Community College District,1
UCSB,Mt. San Jacinto Community College District,3
UCSC,Mt. San Jacinto Community College District,3
UCSD,Mt. San Jacinto Community College District,5
UCB,Napa Valley Community College District,4
UCD,Napa Valley Community College District,4
UCI,Napa Valley Community College District,4
UCM,Napa Valley Community College District,5
UCR,Napa Valley Community College District,1
UCSB,Napa Valley Community College District,4
UCSC,Napa Valley Community College District,3
UCB,North Orange County Community College District,3
UCD,North Orange County Community College District,4
UCI,North Orange County Community College District,4
UCM,North Orange County Community College District,4
UCR,North Orange County Community College District,1
UCSB,North Orange County Community College District,3
UCSC,North Orange County Community College District,3
UCSD,North Orange County Community College District,4
UCB,Ohlone Community College District,4
UCI,Ohlone Community College District,4
UCM,Ohlone Community College District,5
UCR,Ohlone Community College District,1
UCSB,Ohlone Community College District,3
UCSC,Ohlone Community College District,3
UCSD,Ohlone Community College District,5
UCR,Palo Verde Community College District,1
UCB,Palomar Community College District,4
UCD,Palomar Community College District,4
UCI,Palomar Community College District,4
UCM,Palomar Community College District,5
UCR,Palomar Community College District,1
UCSB,Palomar Community College District,3
UCSC,Palomar Community College District,3
UCSD,Palomar Community College District,5
UCB,Pasadena Area Community College District,4
UCI,Pasadena Area Community College District,4
UCM,Pasadena Area Community College District,5
UCR,Pasadena Area Community College District,1
UCSB,Pasadena Area Community College District,3
UCSC,Pasadena Area Community College District,3
UCSD,Pasadena Area Community College District,5
UCB,Peralta Community College District,4
UCD,Peralta Community College District,4
UCI,Peralta Community College District,4
UCM,Peralta Community College District,5
UCR,Peralta Community College District,1
UCSB,Peralta Community College District,4
UCSC,Peralta Community College District,3
UCSD,Peralta Community College District,5
UCB,Rancho Santiago Community College District,4
UCI,Rancho Santiago Community College District,4
UCM,Rancho Santiago Community College District,5
UCR,Rancho Santiago Community College District,1
UCSB,Rancho Santiago Community College District,3
UCSC,Rancho Santiago Community College District,3
UCSD,Rancho Santiago Community College District,5
UCB,Redwoods Community College District,4
UCD,Redwoods Community College District,4
UCI,Redwoods Community College District,4
UCM,Redwoods Community College District,5
UCR,Redwoods Community College District,1
UCSB,Redwoods Community College District,4
UCSC,Redwoods Community College District,3
UCSD,Redwoods Community College District,3
UCB,Rio Hondo Community College District,4
UCD,Rio Hondo Community College District,4
UCI,Rio Hondo Community College District,4
UCM,Rio Hondo Community College District,5
UCR,Rio Hondo Community College District,1
UCSB,Rio Hondo Community College District,3
UCSC,Rio Hondo Community College District,3
UCSD,Rio Hondo Community College District,3
UCB,Riverside Community College District,4
UCD,Riverside Community College District,4
UCI,Riverside Community College District,4
UCM,Riverside Community College District,5
UCR,Riverside Community College District,1
UCSB,Riverside Community College District,3
UCSC,Riverside Community College District,3
UCSD,Riverside Community College District,3
UCB,San Bernardino Community College District,4
UCD,San Bernardino Community College District,4
UCI,San Bernardino Community College District,4
UCM,San Bernardino Community College District,5
UCR,San Bernardino Community College District,1
UCSB,San Bernardino Community College District,3
UCSC,San Bernardino Community College District,3
UCSD,San Bernardino Community College District,5
UCB,San Diego Community College District,4
UCD,San Diego Community College District,4
UCI,San Diego Community College District,4
UCM,San Diego Community College District,5
UCR,San Diego Community College District,1
UCSB,San Diego Community College District,4
UCSC,San Diego Community College District,3
UCSD,San Diego Community College District,4
UCB,San Francisco Community College District,4
UCD,San Francisco Community College District,4
UCI,San Francisco Community College District,4
UCM,San Francisco Community College District,5
UCR,San Francisco Community College District,1
UCSB,San Francisco Community College District,4
UCSC,San Francisco Community College District,3
UCSD,San Francisco Community College District,4
UCB,San Joaquin Delta Community College District,4
UCD,San Joaquin Delta Community College District,4
UCI,San Joaquin Delta Community College District,4
UCM,San Joaquin Delta Community College District,5
UCR,San Joaquin Delta Community College District,1
UCSB,San Joaquin Delta Community College District,3
UCSC,San Joaquin Delta Community College District,3
UCB,San Jose-Evergreen Community College District,4
UCD,San Jose-Evergreen Community College District,4
UCI,San Jose-Evergreen Community College District,4
UCM,San Jose-Evergreen Community College District,5
UCR,San Jose-Evergreen Community College District,1
UCSB,San Jose-Evergreen Community College District,3
UCSC,San Jose-Evergreen Community College District,3
UCSD,San Jose-Evergreen Community College District,5
UCB,San Luis Obispo County Community College District,4
UCD,San Luis Obispo County Community College District,4
UCI,San Luis Obispo County Community College District,4
UCM,San Luis Obispo County Community College District,5
UCR,San Luis Obispo County Community College District,1
UCSB,San Luis Obispo County Community College District,3
UCSC,San Luis Obispo County Community College District,3
UCSD,San Luis Obispo County Community College District,5
UCB,San Mateo County Community College District,4
UCD,San Mateo County Community College District,5
UCI,San Mateo County Community College District,4
UCM,San Mateo County Community College District,5
UCR,San Mateo County Community College District,1
UCSB,San Mateo County Community College District,4
UCSC,San Mateo County Community College District,3
UCSD,San Mateo County Community College District,5
UCB,Santa Barbara Community College District,4
UCD,Santa Barbara Community College District,3
UCI,Santa Barbara Community College District,4
UCM,Santa Barbara Community College District,5
UCR,Santa Barbara Community College District,1
UCSB,Santa Barbara Community College District,3
UCSC,Santa Barbara Community College District,3
UCSD,Santa Barbara Community College District,4
UCB,Santa Clarita Community College District,4
UCI,Santa Clarita Community College District,4
UCM,Santa Clarita Community College District,5
UCR,Santa Clarita Community College District,1
UCSB,Santa Clarita Community College District,3
UCSC,Santa Clarita Community College District,3
UCSD,Santa Clarita Community College District,5
UCB,Santa Monica Community College District,4
UCD,Santa Monica Community College District,4
UCI,Santa Monica Community College District,4
UCM,Santa Monica Community College District,5
UCR,Santa Monica Community College District,1
UCSB,Santa Monica Community College District,4
UCSC,Santa Monica Community College District,3
UCSD,Santa Monica Community College District,4
UCB,Sequoias Community College District,4
UCD,Sequoias Community College District,4
UCI,Sequoias Community College District,4
UCM,Sequoias Community College District,5
UCR,Sequoias Community College District,1
UCSB,Sequoias Community College District,4
UCSC,Sequoias Community College District,3
UCSD,Sequoias Community College District,5
UCB,Shasta-Tehama-Trinity Joint Community College District,4
UCD,Shasta-Tehama-Trinity Joint Community College District,4
UCI,Shasta-Tehama-Trinity Joint Community College District,4
UCM,Shasta-Tehama-Trinity Joint Community College District,5
UCR,Shasta-Tehama-Trinity Joint Community College District,1
UCSB,Shasta-Tehama-Trinity Joint Community College District,3
UCSC,Shasta-Tehama-Trinity Joint Community College District,3
UCSD,Shasta-Tehama-Trinity Joint Community College District,5
UCB,Sierra Joint Community College District,4
UCD,Sierra Joint Community College District,4
UCI,Sierra Joint Community College District,4
UCM,Sierra Joint Community College District,5
UCR,Sierra Joint Community College District,1
UCSB,Sierra Joint Community College District,3
UCSC,Sierra Joint Community College District,3
UCSD,Sierra Joint Community College District,4
UCB,Siskiyou Joint Community College District,4
UCD,Siskiyou Joint Community College District,4
UCI,Siskiyou Joint Community College District,4
UCM,Siskiyou Joint Community College District,5
UCR,Siskiyou Joint Community College District,1
UCSB,Siskiyou Joint Community College District,4
UCSC,Siskiyou Joint Community College District,3
UCSD,Siskiyou Joint Community College District,5
UCB,Solano Community College District,4
UCD,Solano Community College District,4
UCI,Solano Community College District,4
UCM,Solano Community College District,5
UCR,Solano Community College District,1
UCSB,Solano Community College District,4
UCSC,Solano Community College District,3
UCSD,Solano Community College District,4
UCB,Sonoma County Junior College District,4
UCD,Sonoma County Junior College District,4
UCI,Sonoma County Junior College District,4
UCM,Sonoma County Junior College District,5
