campus,unarticulated_receiver,districts_blocked,districts
UCLA,COM SCI 31,25,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Compton Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Merced Community College District | Palo Verde Community College District | Redwoods Community College District | San Luis Obispo County Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Sonoma County Junior College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yosemite Community College District
UCSD,CSE 11,25,Butte-Glenn Community College District | Chaffey Community College District | Citrus Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Hartnell Community College District | Kern Community College District | Lassen Community College District | Long Beach Community College District | Marin Community College District | Merced Community College District | Monterey Peninsula Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | San Bernardino Community College District | San Joaquin Delta Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | West Hills Community College District | West Kern Community College District
UCSD,CSE 20,23,Butte-Glenn Community College District | Chaffey Community College District | Citrus Community College District | Feather River Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | San Bernardino Community College District | San Joaquin Delta Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yosemite Community College District | Yuba Community College District
UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67],22,Butte-Glenn Community College District | Chaffey Community College District | Citrus Community College District | Feather River Community College District | Hartnell Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | San Joaquin Delta Community College District | Santa Clarita Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yosemite Community College District | Yuba Community College District
UCLA,Computer programming courses: C++ preferred,21,Antelope Valley Community College District | Barstow Community College District | Chaffey Community College District | Citrus Community College District | Compton Community College District | Feather River Community College District | Imperial Community College District | Lassen Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | San Joaquin Delta Community College District | San Luis Obispo County Community College District | Siskiyou Joint Community College District | Solano Community College District | West Hills Community College District | West Kern Community College District
UCLA,MATH 61,21,Barstow Community College District | Butte-Glenn Community College District | Cerritos Community College District | Copper Mountain Community College District | Feather River Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Mendocino-Lake Community College District | Mt. San Antonio Community College District | Napa Valley Community College District | Palo Verde Community College District | Rancho Santiago Community College District | Redwoods Community College District | Sequoias Community College District | Siskiyou Joint Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yuba Community College District
UCSB,CMPSC 24,19,Citrus Community College District | Feather River Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Merced Community College District | Monterey Peninsula Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | Rio Hondo Community College District | San Luis Obispo County Community College District | Siskiyou Joint Community College District | Solano Community College District | Southwestern Community College District | West Hills Community College District | Yosemite Community College District
UCD,ECS 050,18,Barstow Community College District | Chaffey Community College District | Compton Community College District | El Camino Community College District | Feather River Community College District | Hartnell Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Mt. San Antonio Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | Rio Hondo Community College District | San Diego Community College District | Santa Clarita Community College District | West Hills Community College District | West Kern Community College District
UCD,ECS 036B,17,Allan Hancock Joint Community College District | Barstow Community College District | Citrus Community College District | Compton Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Palo Verde Community College District | Redwoods Community College District | Santa Monica Community College District | Southwestern Community College District | West Hills Community College District | West Kern Community College District
UCSC,CSE 12,17,Barstow Community College District | Chaffey Community College District | Compton Community College District | Feather River Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Palo Verde Community College District | Rancho Santiago Community College District | Redwoods Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | West Hills Community College District | West Kern Community College District
