district,campus,group,set,receiving,paper_courses,our_courses,change
west valley-mission,UCLA,Calc2,A,MATH 31B,MATH 003B (5.00) | MATH 003BH (5.00),MAT 003B (5.00),courses-changed
west valley-mission,UCLA,Calc3,A,MATH 32A,MATH 004A (5.00),MAT 004A (5.00),courses-changed
west valley-mission,UCLA,Calc4,A,MATH 32B,MATH 004A (5.00),MAT 004A (5.00),courses-changed
west valley-mission,UCLA,DifferentialEquations,A,MATH 33B,MATH 004B (4.00),MAT 004B (4.00),courses-changed
west valley-mission,UCLA,Intro,A,COM SCI 31,CIST 004A (4.00),CIS 040 (4.00) | EGR 030 (4.00),courses-changed
west valley-mission,UCLA,LinearAlgebra,A,MATH 33A,MATH 004C (4.00),MAT 004C (4.00),courses-changed
west valley-mission,UCM,Calc1,A,MATH 021,MATH 003A (5.00) | MATH 003AH (5.00),MAT 003A (5.00),courses-changed
west valley-mission,UCM,Calc2,A,MATH 022,MATH 003B (5.00) | MATH 003BH (5.00),MAT 003B (5.00),courses-changed
west valley-mission,UCM,DataStructures,A,CSE 030,CIST 004B1 (4.00),CIS 044 (4.00),courses-changed
west valley-mission,UCM,Intro,A,CSE 022,CIST 004A (4.00) | CIST 004A1 (4.00) | CIST 005A (4.00) | CIST 037 (4.00),CIS 007 (4.00) | CIS 037A (4.00) | CIS 040 (4.00) | CIS 043 (4.00) | EGR 030 (4.00),courses-changed
west valley-mission,UCM,LinearAlgebra,A,MATH 024,MATH 004B (4.00) | MATH 004C (4.00),MAT 004B (4.00) | MAT 004C (4.00),courses-changed
west valley-mission,UCM,VectorCalc,A,MATH 023,MATH 004A (5.00),MAT 004A (5.00),courses-changed
west valley-mission,UCR,Calc,A,MATH 9A; MATH 9B; MATH 9C,MATH 003A (5.00) | MATH 003B (5.00),MAT 003A (5.00) | MAT 003B (5.00),courses-changed
west valley-mission,UCR,Intro1,A,CS 10A,CIST 004A (4.00) | CIST 004A1 (4.00) | CIST 037 (4.00),CIS 037A (4.00) | CIS 040 (4.00) | CIS 043 (4.00),courses-changed
west valley-mission,UCR,Intro2,A,CS 10B,CIST 004B (4.00),EGR 030 (4.00),courses-changed
west valley-mission,UCSB,Calc1,A,MATH 3A,MATH 003A (5.00) | MATH 003AH (5.00),MAT 003A (5.00) | MAT 003AH (5.00),courses-changed
west valley-mission,UCSB,Calc2,A,MATH 3B,MATH 003B (5.00) | MATH 003BH (5.00),MAT 003B (5.00),courses-changed
west valley-mission,UCSB,DifferentialEquations,A,MATH 4B,MATH 004B (4.00),MAT 004B (4.00),courses-changed
west valley-mission,UCSB,DiscreteMath,A,CMPSC 40,MATH 019 (4.00),MAT 020 (4.00),courses-changed
west valley-mission,UCSB,Intro,A,CMPSC 16,CIST 004A (4.00) | CIST 037 (4.00),CIS 037A (4.00) | CIS 040 (4.00) | EGR 030 (4.00),courses-changed
west valley-mission,UCSB,LinearAlgebra,A,MATH 4A,MATH 004C (4.00),MAT 004C (4.00),courses-changed
west valley-mission,UCSC,Calc1,A,MATH 19A,MATH 003A (5.00),MAT 003A (5.00),courses-changed
west valley-mission,UCSC,Calc2,A,MATH 19B,MATH 003B (5.00),MAT 003B (5.00),courses-changed
west valley-mission,UCSC,DiscreteMath,A,CSE 16,MATH 019 (4.00),MAT 020 (4.00),courses-changed
west valley-mission,UCSC,Intro,A,CSE 30,CIST 004B (4.00) | CIST 004B1 (4.00) | CIST 005B (4.00),CIS 008 (4.00) | CIS 044 (4.00),courses-changed
west valley-mission,UCSC,Organization,A,CSE 12,CIST 039 (3.00),CIS 039 (4.00),courses-changed
west valley-mission,UCSD,Calc1,A,MATH 20A,MATH 003A (5.00) | MATH 003AH (5.00),MAT 003A (5.00) | MAT 003AH (5.00),courses-changed
west valley-mission,UCSD,Calc2,A,MATH 20B,MATH 003B (5.00) | MATH 003BH (5.00),MAT 003B (5.00),courses-changed
west valley-mission,UCSD,Calc3,A,MATH 20C,MATH 004A (5.00),MAT 004A (5.00),courses-changed
west valley-mission,UCSD,DiscreteMath,A,CSE 20,MATH 019 (4.00),course:291004,courses-changed
west valley-mission,UCSD,LinearAlgebra,A,MATH 18,MATH 004C (4.00),MAT 004C (4.00),courses-changed
yosemite,UCB,Calc1,A,MATH 51,MATH 171 (4.00),MATH 18A (4.00),courses-changed
yosemite,UCB,Calc2,A,MATH 52,MATH 172 (4.00),MATH 18B (4.00),courses-changed
yosemite,UCB,LinearAlgebraAndDifferentialEqations,A,MATH 54,MATH 191 (3.00) | MATH 193 (3.00),MATH 26 (3.00) | MATH 28 (3.00),courses-changed
yosemite,UCB,MultivariableCalc,A,MATH 53,MATH 173 (4.00),MATH 18C (5.00),courses-changed
yosemite,UCD,Intro1,A,ECS 036A,CSCI 271 (3.00),COMP 11P (4.00),courses-changed
yosemite,UCD,Intro2,A,ECS 036B,CSCI 272 (3.00),COMP 12J (4.00),courses-changed
yosemite,UCI,Calc1,A,MATH 2A,MATH 171 (4.00),MATH 18A (4.00),courses-changed
yosemite,UCI,Calc2,A,MATH 2B,MATH 172 (4.00),MATH 18B (4.00),courses-changed
yosemite,UCLA,Calc1,A,MATH 31A,MATH 171 (4.00),MATH 18A (4.00),courses-changed
yosemite,UCLA,Calc2,A,MATH 31B,MATH 172 (4.00),MATH 18B (4.00),courses-changed
yosemite,UCLA,Calc3,A,MATH 32A,MATH 173 (4.00),MATH 18C (5.00),courses-changed
yosemite,UCLA,Calc4,A,MATH 32B,MATH 173 (4.00),MATH 18C (5.00),courses-changed
yosemite,UCLA,LinearAlgebra,A,MATH 33A,MATH 191 (3.00),MATH 26 (3.00),courses-changed
yosemite,UCM,Calc1,A,MATH 021,MATH 171 (4.00),MATH 18A (4.00),courses-changed
yosemite,UCM,Calc2,A,MATH 022,MATH 172 (4.00),MATH 18B (4.00),courses-changed
yosemite,UCM,DataStructures,A,CSE 030,CSCI 272 (3.00),COMP 12J (4.00) | COMP 12P (4.00),courses-changed
yosemite,UCM,Intro,A,CSE 022,CSCI 271 (3.00),COMP 11J (4.00) | COMP 11P (4.00),courses-changed
yosemite,UCM,LinearAlgebra,A,MATH 024,MATH 191 (3.00) | MATH 193 (3.00),MATH 26 (3.00) | MATH 28 (3.00),courses-changed
yosemite,UCM,VectorCalc,A,MATH 023,MATH 173 (4.00),MATH 18C (5.00),courses-changed
yosemite,UCR,Calc,A,MATH 9A; MATH 9B; MATH 9C,MATH 171 (4.00) | MATH 172 (4.00),MATH 18A (4.00) | MATH 18B (4.00),courses-changed
yosemite,UCR,Intro1,A,CS 10A,CSCI 271 (3.00),COMP 11P (4.00),courses-changed
yosemite,UCR,Intro2,A,CS 10B,CSCI 272 (3.00) | CSCI 274 (3.00),COMP 12P (4.00),courses-changed
yosemite,UCSB,Calc1,A,MATH 3A,MATH 171 (4.00),MATH 18A (4.00),courses-changed
yosemite,UCSB,Calc2,A,MATH 3B,MATH 172 (4.00),MATH 18B (4.00),courses-changed
yosemite,UCSB,DifferentialEquations,A,MATH 4B,MATH 193 (3.00),MATH 28 (3.00),courses-changed
yosemite,UCSB,LinearAlgebra,A,MATH 4A,MATH 191 (3.00),MATH 26 (3.00),courses-changed
yosemite,UCSC,Calc1,A,MATH 19A,MATH 171 (4.00) | MATH 172 (4.00),MATH 18A (4.00) | MATH 18B (4.00),courses-changed
yosemite,UCSC,Calc2,A,MATH 19B,MATH 171 (4.00) | MATH 172 (4.00),MATH 18A (4.00) | MATH 18B (4.00),courses-changed
yosemite,UCSC,Intro,A,CSE 30,CSCI 272 (3.00),COMP 12P (4.00),courses-changed
yosemite,UCSD,Calc1,A,MATH 20A,MATH 171 (4.00),MATH 18A (4.00),courses-changed
yosemite,UCSD,Calc2,A,MATH 20B,MATH 172 (4.00),MATH 18B (4.00),courses-changed
yosemite,UCSD,Calc3,A,MATH 20C,MATH 173 (4.00),MATH 18C (5.00),courses-changed
yosemite,UCSD,LinearAlgebra,A,MATH 18,MATH 191 (3.00),MATH 26 (3.00),courses-changed
