district,campus,order,articulated_avg,unarticulated_avg
Barstow Community College District,UCR,1,4.0,0.0
Barstow Community College District,UCR,2,1.38,0.0
Barstow Community College District,UCR,3,0.71,0.0
Barstow Community College District,UCR,4,0.36,0.0
Butte-Glenn Community College District,UCD,1,6.0,2.0
Butte-Glenn Community College District,UCD,2,2.62,2.0
Butte-Glenn Community College District,UCD,3,1.71,2.0
Butte-Glenn Community College District,UCD,4,1.12,2.0
Butte-Glenn Community College District,UCM,1,7.0,0.0
Butte-Glenn Community College District,UCM,2,2.88,0.0
Butte-Glenn Community College District,UCM,3,1.54,0.0
Butte-Glenn Community College District,UCM,4,0.75,0.0
Butte-Glenn Community College District,UCSD,1,4.0,3.0
Butte-Glenn Community College District,UCSD,2,1.0,3.0
Butte-Glenn Community College District,UCSD,3,0.43,3.0
Butte-Glenn Community College District,UCSD,4,0.14,3.0
Butte-Glenn Community College District,UCSB,1,7.0,0.0
Butte-Glenn Community College District,UCSB,2,3.12,0.0
Butte-Glenn Community College District,UCSB,3,1.86,0.0
Butte-Glenn Community College District,UCSB,4,1.04,0.0
Butte-Glenn Community College District,UCLA,1,5.0,1.0
Butte-Glenn Community College District,UCLA,2,1.62,1.0
Butte-Glenn Community College District,UCLA,3,0.79,1.0
Butte-Glenn Community College District,UCLA,4,0.32,1.0
Butte-Glenn Community College District,UCB,1,5.0,0.0
Butte-Glenn Community College District,UCB,2,1.62,0.0
Butte-Glenn Community College District,UCB,3,0.79,0.0
Butte-Glenn Community College District,UCB,4,0.32,0.0
Butte-Glenn Community College District,UCSC,1,5.0,0.0
Butte-Glenn Community College District,UCSC,2,2.12,0.0
Butte-Glenn Community College District,UCSC,3,1.5,0.0
Butte-Glenn Community College District,UCSC,4,1.05,0.0
Butte-Glenn Community College District,UCI,1,2.0,4.0
Butte-Glenn Community College District,UCI,2,0.0,4.0
Butte-Glenn Community College District,UCI,3,0.0,4.0
Butte-Glenn Community College District,UCI,4,0.0,4.0
Butte-Glenn Community College District,UCR,1,4.0,0.0
Butte-Glenn Community College District,UCR,2,1.25,0.0
Butte-Glenn Community College District,UCR,3,0.75,0.0
Butte-Glenn Community College District,UCR,4,0.43,0.0
Cabrillo Community College District,UCD,1,8.0,0.0
Cabrillo Community College District,UCD,2,3.62,0.0
Cabrillo Community College District,UCD,3,2.21,0.0
Cabrillo Community College District,UCD,4,1.32,0.0
Cabrillo Community College District,UCM,1,7.0,0.0
Cabrillo Community College District,UCM,2,2.62,0.0
Cabrillo Community College District,UCM,3,1.29,0.0
Cabrillo Community College District,UCM,4,0.54,0.0
Cabrillo Community College District,UCSD,1,7.0,0.0
Cabrillo Community College District,UCSD,2,2.88,0.0
Cabrillo Community College District,UCSD,3,1.82,0.0
Cabrillo Community College District,UCSD,4,1.3,0.0
Cabrillo Community College District,UCSB,1,7.0,0.0
Cabrillo Community College District,UCSB,2,2.75,0.0
Cabrillo Community College District,UCSB,3,1.46,0.0
Cabrillo Community College District,UCSB,4,0.7,0.0
Cabrillo Community College District,UCLA,1,6.0,0.0
Cabrillo Community College District,UCLA,2,2.25,0.0
Cabrillo Community College District,UCLA,3,1.21,0.0
Cabrillo Community College District,UCLA,4,0.57,0.0
Cabrillo Community College District,UCB,1,5.0,0.0
Cabrillo Community College District,UCB,2,1.62,0.0
Cabrillo Community College District,UCB,3,0.79,0.0
Cabrillo Community College District,UCB,4,0.32,0.0
Cabrillo Community College District,UCSC,1,5.0,0.0
Cabrillo Community College District,UCSC,2,1.88,0.0
Cabrillo Community College District,UCSC,3,1.29,0.0
Cabrillo Community College District,UCSC,4,0.88,0.0
Cabrillo Community College District,UCI,1,4.0,1.0
Cabrillo Community College District,UCI,2,0.88,0.75
Cabrillo Community College District,UCI,3,0.46,0.54
Cabrillo Community College District,UCI,4,0.25,0.36
Cabrillo Community College District,UCR,1,4.0,0.0
Cabrillo Community College District,UCR,2,1.0,0.0
Cabrillo Community College District,UCR,3,0.54,0.0
Cabrillo Community College District,UCR,4,0.27,0.0
Cerritos Community College District,UCD,1,5.0,0.0
Cerritos Community College District,UCD,2,2.62,0.0
Cerritos Community College District,UCD,3,1.68,0.0
Cerritos Community College District,UCD,4,1.05,0.0
Cerritos Community College District,UCM,1,6.0,0.0
Cerritos Community College District,UCM,2,2.12,0.0
Cerritos Community College District,UCM,3,0.89,0.11
Cerritos Community College District,UCM,4,0.34,0.21
Cerritos Community College District,UCSD,1,7.0,0.0
Cerritos Community College District,UCSD,2,3.12,0.0
Cerritos Community College District,UCSD,3,1.89,0.0
Cerritos Community College District,UCSD,4,1.34,0.0
Cerritos Community College District,UCSB,1,7.0,0.0
Cerritos Community College District,UCSB,2,2.88,0.0
Cerritos Community College District,UCSB,3,1.43,0.0
Cerritos Community College District,UCSB,4,0.7,0.0
Cerritos Community College District,UCLA,1,5.0,0.0
Cerritos Community College District,UCLA,2,1.75,0.0
Cerritos Community College District,UCLA,3,0.86,0.0
Cerritos Community College District,UCLA,4,0.45,0.0
Cerritos Community College District,UCB,1,4.0,0.0
Cerritos Community College District,UCB,2,1.25,0.0
Cerritos Community College District,UCB,3,0.57,0.0
Cerritos Community College District,UCB,4,0.25,0.0
Cerritos Community College District,UCSC,1,5.0,0.0
Cerritos Community College District,UCSC,2,2.12,0.0
Cerritos Community College District,UCSC,3,1.32,0.0
Cerritos Community College District,UCSC,4,0.88,0.0
Cerritos Community College District,UCI,1,4.0,1.0
Cerritos Community College District,UCI,2,1.25,0.5
Cerritos Community College District,UCI,3,0.64,0.32
Cerritos Community College District,UCI,4,0.38,0.29
Cerritos Community College District,UCR,1,4.0,0.0
Cerritos Community College District,UCR,2,1.12,0.0
Cerritos Community College District,UCR,3,0.46,0.0
Cerritos Community College District,UCR,4,0.2,0.0
Chabot-Las Positas Community College District,UCD,1,7.0,0.0
Chabot-Las Positas Community College District,UCD,2,5.62,0.0
Chabot-Las Positas Community College District,UCD,3,4.68,0.0
Chabot-Las Positas Community College District,UCD,4,4.05,0.0
Chabot-Las Positas Community College District,UCM,1,7.0,0.0
Chabot-Las Positas Community College District,UCM,2,3.12,0.0
Chabot-Las Positas Community College District,UCM,3,1.5,0.0
Chabot-Las Positas Community College District,UCM,4,0.68,0.0
Chabot-Las Positas Community College District,UCSD,1,7.0,0.0
Chabot-Las Positas Community College District,UCSD,2,3.5,0.0
Chabot-Las Positas Community College District,UCSD,3,2.14,0.0
Chabot-Las Positas Community College District,UCSD,4,1.5,0.0
Chabot-Las Positas Community College District,UCSB,1,7.0,0.0
Chabot-Las Positas Community College District,UCSB,2,3.12,0.0
Chabot-Las Positas Community College District,UCSB,3,1.5,0.0
Chabot-Las Positas Community College District,UCSB,4,0.68,0.0
Chabot-Las Positas Community College District,UCLA,1,6.0,0.0
Chabot-Las Positas Community College District,UCLA,2,2.62,0.0
Chabot-Las Positas Community College District,UCLA,3,1.29,0.0
Chabot-Las Positas Community College District,UCLA,4,0.61,0.0
Chabot-Las Positas Community College District,UCB,1,5.0,0.0
Chabot-Las Positas Community College District,UCB,2,2.0,0.0
Chabot-Las Positas Community College District,UCB,3,0.93,0.0
Chabot-Las Positas Community College District,UCB,4,0.43,0.0
Chabot-Las Positas Community College District,UCSC,1,5.0,0.0
Chabot-Las Positas Community College District,UCSC,2,2.25,0.0
Chabot-Las Positas Community College District,UCSC,3,1.32,0.0
Chabot-Las Positas Community College District,UCSC,4,0.88,0.0
Chabot-Las Positas Community College District,UCI,1,4.0,1.0
Chabot-Las Positas Community College District,UCI,2,1.5,0.38
Chabot-Las Positas Community College District,UCI,3,0.71,0.11
Chabot-Las Positas Community College District,UCI,4,0.36,0.02
Chabot-Las Positas Community College District,UCR,1,4.0,0.0
Chabot-Las Positas Community College District,UCR,2,1.5,0.0
Chabot-Las Positas Community College District,UCR,3,0.71,0.0
Chabot-Las Positas Community College District,UCR,4,0.36,0.0
Chaffey Community College District,UCD,1,6.0,2.0
Chaffey Community College District,UCD,2,2.5,2.0
Chaffey Community College District,UCD,3,1.68,2.0
Chaffey Community College District,UCD,4,1.23,2.0
Chaffey Community College District,UCM,1,7.0,0.0
Chaffey Community College District,UCM,2,2.75,0.0
Chaffey Community College District,UCM,3,1.5,0.0
Chaffey Community College District,UCM,4,0.86,0.0
Chaffey Community College District,UCSD,1,4.0,3.0
Chaffey Community College District,UCSD,2,1.0,2.88
Chaffey Community College District,UCSD,3,0.43,2.75
Chaffey Community College District,UCSD,4,0.14,2.62
Chaffey Community College District,UCSB,1,7.0,0.0
Chaffey Community College District,UCSB,2,2.88,0.0
Chaffey Community College District,UCSB,3,1.64,0.0
Chaffey Community College District,UCSB,4,0.96,0.0
Chaffey Community College District,UCLA,1,7.0,0.0
Chaffey Community College District,UCLA,2,2.5,0.0
Chaffey Community College District,UCLA,3,1.11,0.0
Chaffey Community College District,UCLA,4,0.41,0.0
Chaffey Community College District,UCB,1,5.0,0.0
Chaffey Community College District,UCB,2,1.62,0.0
Chaffey Community College District,UCB,3,0.79,0.0
Chaffey Community College District,UCB,4,0.32,0.0
Chaffey Community College District,UCSC,1,2.0,3.0
Chaffey Community College District,UCSC,2,0.0,2.88
Chaffey Community College District,UCSC,3,0.0,2.75
Chaffey Community College District,UCSC,4,0.0,2.62
Chaffey Community College District,UCI,1,4.0,1.0
Chaffey Community College District,UCI,2,1.12,1.0
Chaffey Community College District,UCI,3,0.71,1.0
Chaffey Community College District,UCI,4,0.54,1.0
Chaffey Community College District,UCR,1,3.0,1.0
Chaffey Community College District,UCR,2,0.62,1.0
Chaffey Community College District,UCR,3,0.5,1.0
Chaffey Community College District,UCR,4,0.46,1.0
Citrus Community College District,UCD,1,3.0,2.0
Citrus Community College District,UCD,2,2.12,2.0
Citrus Community College District,UCD,3,1.5,2.0
Citrus Community College District,UCD,4,1.05,2.0
Citrus Community College District,UCM,1,7.0,0.0
Citrus Community College District,UCM,2,3.38,0.0
Citrus Community College District,UCM,3,1.89,0.0
Citrus Community College District,UCM,4,1.12,0.0
Citrus Community College District,UCSD,1,4.0,3.0
Citrus Community College District,UCSD,2,1.38,3.0
Citrus Community College District,UCSD,3,0.57,3.0
Citrus Community College District,UCSD,4,0.25,3.0
Citrus Community College District,UCSB,1,6.0,1.0
Citrus Community College District,UCSB,2,2.62,1.0
Citrus Community College District,UCSB,3,1.32,1.0
Citrus Community College District,UCSB,4,0.68,1.0
Citrus Community College District,UCLA,1,6.0,0.0
Citrus Community College District,UCLA,2,2.5,0.0
Citrus Community College District,UCLA,3,1.14,0.0
Citrus Community College District,UCLA,4,0.5,0.0
Citrus Community College District,UCB,1,5.0,0.0
Citrus Community College District,UCB,2,2.0,0.0
Citrus Community College District,UCB,3,0.93,0.0
Citrus Community College District,UCB,4,0.43,0.0
Citrus Community College District,UCSC,1,4.0,1.0
Citrus Community College District,UCSC,2,1.88,1.0
Citrus Community College District,UCSC,3,1.29,1.0
Citrus Community College District,UCSC,4,0.98,1.0
Citrus Community College District,UCI,1,2.0,4.0
Citrus Community College District,UCI,2,0.25,4.0
Citrus Community College District,UCI,3,0.0,4.0
Citrus Community College District,UCI,4,0.0,4.0
Citrus Community College District,UCR,1,4.0,0.0
Citrus Community College District,UCR,2,1.62,0.0
Citrus Community College District,UCR,3,0.96,0.0
Citrus Community College District,UCR,4,0.7,0.0
Coast Community College District,UCD,1,7.0,0.0
Coast Community College District,UCD,2,3.62,0.0
Coast Community College District,UCD,3,2.29,0.0
Coast Community College District,UCD,4,1.54,0.0
Coast Community College District,UCM,1,6.0,0.0
Coast Community College District,UCM,2,2.38,0.0
Coast Community College District,UCM,3,1.04,0.0
Coast Community College District,UCM,4,0.45,0.0
Coast Community College District,UCSD,1,7.0,0.0
