scenario_id,district_index,district,region,unit_system,reachable_count,reachable_codes,portfolio_mask,portfolio_size,portfolio_codes,status,course_status,prerequisite_status,schedule_status,role_attribution_status,course_result_quality,schedule_result_quality,distinct_courses,major_course_count,prerequisite_course_count,colleges_used,semester_equiv_units,min_terms,lower_bound_terms,upper_bound_terms,academic_years,exact_only_overlap_savings_courses,bounded_sensitivity_overlap_savings_courses,computation_elapsed_ms
0:386,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,386,3,UCR|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,12,1,1,50,4,4,4,2,12,12,31
0:388,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,388,3,UCB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,50,4,4,4,2,13,13,39
0:448,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,448,3,UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,12,1,1,50,4,4,4,2,11,11,14
0:198,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,198,4,UCR|UCB|UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,50,4,4,4,2,17,17,17
0:326,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,326,4,UCR|UCB|UCSB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,47,4,4,4,2,23,23,19
0:390,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,390,4,UCR|UCB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,50,4,4,4,2,21,21,18
0:450,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,450,4,UCR|UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,12,1,1,50,4,4,4,2,19,19,8
0:452,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,452,4,UCB|UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,50,4,4,4,2,20,20,8
0:454,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,454,5,UCR|UCB|UCSB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,50,4,4,4,2,28,28,15
1:4,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,4,1,UCB,optimal,optimal,complete,optimal,optimal,exact,exact,10,10,0,1,40,5,5,5,2.5,0,0,306
1:32,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,32,1,UCI,optimal,optimal,complete,optimal,optimal,exact,exact,5,5,0,1,18,3,3,3,1.5,0,0,3
1:128,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,128,1,UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,7,5,2,1,25,3,3,3,1.5,0,0,8
1:256,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,256,1,UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,11,1,1,44,5,5,5,2.5,0,0,163
1:36,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,36,2,UCB|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,49,5,5,5,2.5,2,2,1423
1:132,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,132,2,UCB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,15,13,2,1,56,5,5,5,2.5,2,2,1751
1:160,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,160,2,UCI|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,7,7,0,1,25,3,3,3,1.5,5,5,2
1:260,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,260,2,UCB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,12,1,1,49,5,5,5,2.5,9,9,185
1:288,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,288,2,UCI|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,47,5,5,5,2.5,4,4,24
1:384,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,384,2,UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,13,1,1,51,5,5,5,2.5,5,5,53
1:164,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,164,3,UCB|UCI|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,15,15,0,1,56,5,5,5,2.5,7,7,806
1:292,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,292,3,UCB|UCI|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,52,5,5,5,2.5,13,13,86
1:388,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,388,3,UCB|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,15,14,1,1,56,5,5,5,2.5,14,14,110
1:416,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,416,3,UCI|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,14,14,0,1,51,5,5,5,2.5,10,10,23
1:420,1,Antelope Valley Community College District,South Central,semester,4,UCB|UCI|UCSC|UCM,420,4,UCB|UCI|UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,15,15,0,1,56,5,5,5,2.5,19,19,71
2:2,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,2,1,UCR,optimal,optimal,complete,optimal,optimal,exact,exact,6,6,0,1,22,3,3,3,1.5,0,0,2
2:4,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,4,1,UCB,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,42,5,5,5,2.5,0,0,39
2:32,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,32,1,UCI,optimal,optimal,complete,optimal,optimal,exact,exact,4,4,0,1,14,2,2,2,1,0,0,1
2:256,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,256,1,UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,39,5,5,5,2.5,0,0,7
2:6,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,6,2,UCR|UCB,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,4,4,19
2:34,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,34,2,UCR|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,6,6,0,1,22,3,3,3,1.5,4,4,1
2:36,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,36,2,UCB|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,2,2,16
2:258,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,258,2,UCR|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,39,5,5,5,2.5,6,6,6
2:260,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,260,2,UCB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,9,9,21
2:288,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,288,2,UCI|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,39,5,5,5,2.5,4,4,3
2:38,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,38,3,UCR|UCB|UCI,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,8,8,13
2:262,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,262,3,UCR|UCB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,15,15,21
2:290,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,290,3,UCR|UCI|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,39,5,5,5,2.5,10,10,3
2:292,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,292,3,UCB|UCI|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,13,13,6
2:294,2,Barstow Community College District,Inland Empire,semester,4,UCR|UCB|UCI|UCM,294,4,UCR|UCB|UCI|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,48,5,5,5,2.5,19,19,8
